0,600795-601985,601288-601988,603296-002252,601633-603296,601669-603296,600026-603296,600132-603296,601618-601669,601328-603296,603296-000157,Total
2019-02-27,-2522.7326028799744,5537.594542536117,,,,,,8022.428115015976,,,
2019-02-28,-2459.2664674218067,5557.313643659712,,,,,,7937.124600638979,,,
2019-03-01,-2459.2664674218067,5508.015890850723,,,,,,8022.428115015976,,,
2019-03-04,-2543.8879813660305,5488.296789727127,,,,,,8073.610223642175,,,
2019-03-05,-2586.198738338142,5517.8754414125215,,,,,,8363.642172523963,,,
2019-03-06,2983.5139974346357,5508.015890850723,,,,,,8380.702875399362,,,
2019-03-07,3230.119163486296,5557.313643659712,,,,,,8397.763578274762,,,
2019-03-08,3218.606248357145,5665.768699839487,,,,,,7971.246006389778,,,
2019-03-11,9476.281525109913,5646.049598715892,,,,,,8193.03514376997,,,
2019-03-12,9658.421746512126,5616.470947030499,,,,,,8278.338658146968,,,
2019-03-13,9476.281525109913,5646.049598715892,,,,,,8278.338658146968,,,
2019-03-14,9316.908831382974,5655.90914927769,,,,,,8124.792332268372,,,
2019-03-15,9339.676359058252,5646.049598715892,,,,,,8158.9137380191705,,,
2019-03-18,9430.746469759357,5606.611396468701,,,,,,8363.642172523963,,,
2019-03-19,9430.746469759357,5616.470947030499,,,,,,8312.460063897764,,,
2019-03-20,9385.211414408805,5626.3304975922965,,,,,,8261.277955271567,,,
2019-03-21,9407.978942084083,5646.049598715892,,,,,,8227.156549520769,,,
2019-03-22,9385.211414408805,5636.190048154094,,,,,,8210.09584664537,,,
2019-03-25,9316.908831382974,5695.347351524881,,,,,,8022.428115015976,,,
2019-03-26,9180.303665331314,5685.487800963083,,,,,,7885.942492012781,,,
2019-03-27,9180.303665331314,5665.768699839487,,,,,,7868.881789137382,,,
2019-03-28,9112.001082305484,5685.487800963083,,,,,,7800.638977635785,,,
2019-03-29,9248.606248357144,5626.3304975922965,,,,,,8005.367412140577,,,
2019-04-01,2919.7819657113323,5586.892295345106,,,,,,8141.853035143772,,,
2019-04-02,2922.3565925770044,5606.611396468701,,,,,,8158.9137380191705,,,
2019-04-03,2964.9312194426757,5616.470947030499,,,,,,8261.277955271567,,,
2019-04-04,3042.6551000396903,5567.17319422151,,,,,,8312.460063897764,,,
2019-04-08,3014.9312194426757,5567.17319422151,,,,,,8312.460063897764,,,
2019-04-09,3017.505846308347,5577.032744783308,,,,,,8312.460063897764,,,
2019-04-10,3024.9312194426757,5586.892295345106,,,,,,8278.338658146968,,,
2019-04-11,3182.953607502377,5626.3304975922965,,,,,,8175.974440894571,,,
2019-04-12,9580.677488099393,5616.470947030499,,,,,,8175.974440894571,,,
2019-04-15,9512.953607502377,5577.032744783308,,,,,,8210.09584664537,,,
2019-04-16,9490.378980636706,5468.577688603532,,,,,,8363.642172523963,,,
2019-04-17,9467.804353771033,5478.4372391653305,,,,,,8312.460063897764,,,
2019-04-18,9490.378980636706,5517.8754414125215,,,,,,8448.94568690096,,,
2019-04-19,9467.804353771033,5508.015890850723,,,,,,8414.824281150162,,,
2019-04-22,9400.080473174019,5577.032744783308,,,,,,8193.03514376997,,,
2019-04-23,9377.505846308348,5586.892295345106,,,,,,8022.428115015976,,,
2019-04-24,9332.356592577005,5586.892295345106,,,,,,8073.610223642175,,,
2019-04-25,9219.483458248647,5616.470947030499,,,,,,7834.760383386583,,,
2019-04-26,9084.035697054616,5636.190048154094,,,,,,7681.214057507989,,,
2019-04-29,9106.61032392029,5616.470947030499,,,,,,7647.092651757191,,,
2019-04-30,9264.63271197999,5596.751845906903,,,,,,7664.153354632589,,,
2019-05-06,9016.3118164576,5705.206902086678,,,,,,7237.635782747605,,,
2019-05-07,8948.587935860585,5695.347351524881,,,,,,7271.7571884984045,,,
2019-05-08,8903.438682129243,5744.645104333869,,,,,,7203.514376996806,,,
2019-05-09,8858.2894283979,5764.364205457465,,,,,,7169.392971246008,,,
2019-05-10,8948.587935860585,5705.206902086678,,,,,,7288.817891373804,,,
2019-05-13,8903.438682129243,5754.504654895667,,,,,,7203.514376996806,,,
2019-05-14,8858.2894283979,5774.2237560192625,,,,,,7169.392971246008,,,
2019-05-15,8903.438682129243,5744.645104333869,,,,,,7220.5750798722065,,,
2019-05-16,8948.587935860585,5734.785553772072,,,,,,7271.7571884984045,,,
2019-05-17,8813.140174666556,5744.645104333869,,,,,,7152.332268370609,,,
2019-05-20,8767.990920935214,5705.206902086678,,,,,,7152.332268370609,,,
2019-05-21,8813.140174666556,5685.487800963083,,,,,,7203.514376996806,,,
2019-05-22,8767.990920935214,5685.487800963083,,,,,,7152.332268370609,,,
2019-05-23,8722.84166720387,5675.628250401285,,,,,,7135.271565495209,,,
2019-05-24,8722.84166720387,5665.768699839487,,,,,,7118.21086261981,,,
2019-05-27,8813.140174666556,5655.90914927769,,,,,,7169.392971246008,,,
2019-05-28,8858.2894283979,5636.190048154094,,,,,,7186.453674121408,,,
2019-05-29,8813.140174666556,5675.628250401285,,,,,,7152.332268370609,,,
2019-05-30,8790.565547800885,5646.049598715892,,,,,,7135.271565495209,,,
2019-05-31,8835.714801532227,5675.628250401285,,,,,,7118.21086261981,,,
2019-06-03,8835.714801532227,5626.3304975922965,,,,,,7118.21086261981,,,
2019-06-04,8790.565547800885,5606.611396468701,,,,,,7084.089456869011,,,
2019-06-05,8790.565547800885,5586.892295345106,,,,,,7084.089456869011,,,
2019-06-06,8767.990920935214,5586.892295345106,,,,,,7032.907348242814,,,
2019-06-10,8858.2894283979,5567.17319422151,,,,,,7067.028753993613,,,
2019-06-11,8948.587935860585,5547.454093097915,,,,,,7203.514376996806,,,
2019-06-12,8903.438682129243,9273.942857142858,,,,,,7152.332268370609,,,
2019-06-13,8880.864055263572,9303.549156355457,,,,,,7152.332268370609,,,
2019-06-14,8858.2894283979,9323.286689163855,,,,,,7135.271565495209,,,
2019-06-17,8880.864055263572,9293.811623547057,,,,,,7118.21086261981,,,
2019-06-18,8903.438682129243,9294.074090738659,,,,,,1910.0000000000018,,,
2019-06-19,8948.587935860585,9481.84311961005,,,,,,1904.2000000000016,,,
2019-06-20,8971.162562726258,9492.10558680165,,,,,,1899.7000000000016,,,
2019-06-21,8993.73718959193,9481.71188601425,,,,,,1946.800000000002,,,
2019-06-24,8948.587935860585,9471.97435320585,,,,,,1956.800000000002,,,
2019-06-25,8926.013308994916,9461.71188601425,,,,,,1918.4000000000015,,,
2019-06-26,8903.438682129243,9471.449418822647,,,,,,1915.5000000000018,,,
2019-06-27,8926.013308994916,9481.449418822647,,,,,,1892.6000000000022,,,
2019-06-28,8880.864055263572,9491.186951631047,,,,,,1908.4000000000015,,,
2019-07-01,8926.013308994916,9491.449418822647,,,,,,1888.1000000000013,,,
2019-07-02,8903.438682129243,9481.71188601425,,,,,,1876.800000000002,,,
2019-07-03,8880.864055263572,9461.97435320585,,,,,,1916.800000000002,,,
2019-07-04,8903.438682129243,9461.97435320585,,,,,,1941.0000000000018,,,
2019-07-05,8880.864055263572,9451.84311961005,,,,,,2008.1000000000013,,,
2019-07-08,8767.990920935214,9461.186951631047,,,,,,2044.2000000000016,,,
2019-07-09,8790.565547800885,9480.924484439445,,,,,,2074.2000000000016,,,
2019-07-10,8767.990920935214,9461.055718035246,,,,,,2097.1000000000013,,,
2019-07-11,8745.416294069542,9471.055718035246,,,,,,2137.1000000000013,,,
2019-07-12,8767.990920935214,9471.186951631047,,,,,,2172.600000000002,,,
2019-07-15,8790.565547800885,9461.055718035246,,,,,,2176.800000000002,,,
2019-07-16,8813.140174666556,9460.924484439445,,,,,,2183.9000000000015,,,
2019-07-17,8790.565547800885,9450.793250843646,,,,,,2129.7000000000016,,,
2019-07-18,8767.990920935214,9450.530783652044,,,,,,2111.300000000001,,,
2019-07-19,8813.140174666556,9450.793250843646,,,,,,2005.800000000002,,,
2019-07-22,8790.565547800885,9450.793250843646,,,,,,1963.2000000000016,,,
2019-07-23,8858.2894283979,9451.055718035246,,,,,,1947.4000000000015,,,
2019-07-24,8880.864055263572,9451.055718035246,,,,,,2054.500000000002,,,
2019-07-25,8880.864055263572,9461.055718035246,,,,,,2061.600000000002,,,
2019-07-26,8926.013308994916,9461.055718035246,,,,,,2041.6000000000022,,,
2019-07-29,8948.587935860585,9451.186951631047,,,,,,2034.5000000000018,,,
2019-07-30,8903.438682129243,9461.318185226848,,,,,,2031.6000000000022,,,
2019-07-31,8903.438682129243,9461.186951631047,,,,,,2084.500000000002,,,
2019-08-01,8948.587935860585,9450.924484439445,,,,,,2083.2000000000016,,,
2019-08-02,8880.864055263572,9440.530783652044,,,,,,2104.800000000002,,,
2019-08-05,8813.140174666556,9429.874615673041,,,,,,2086.4000000000015,,,
2019-08-06,8722.84166720387,9419.34968128984,,,,,,2032.5000000000018,,,
2019-08-07,8722.84166720387,9438.955980502438,,,,,,2008.300000000002,,,
2019-08-08,8722.84166720387,9429.34968128984,,,,,,2005.4000000000024,,,
2019-08-09,8677.692413472527,9449.34968128984,,,,,,1998.300000000002,,,
2019-08-12,8700.267040338198,9449.612148481441,,,,,,2019.6000000000013,,,
2019-08-13,8677.692413472527,9479.218447694038,,,,,,2018.300000000002,,,
2019-08-14,8700.267040338198,9479.08721409824,,,,,,2008.300000000002,,,
2019-08-15,8677.692413472527,9498.955980502438,,,,,,2001.2000000000025,,,
2019-08-16,8632.543159741184,9498.824746906637,,,,,,2004.1000000000022,,,
2019-08-19,8722.84166720387,9498.955980502438,,,,,,1986.7000000000016,,,
2019-08-20,8700.267040338198,9478.955980502438,,,,,,1989.6000000000013,,,
2019-08-21,8722.84166720387,9478.824746906637,,,,,,2019.6000000000013,,,
2019-08-22,8722.84166720387,9478.693513310836,,,,,,2029.6000000000013,,,
2019-08-23,8722.84166720387,9478.693513310836,,,,,,2049.6000000000013,,,
2019-08-26,8677.692413472527,9488.299812523435,,,,,,2004.1000000000022,,,
2019-08-27,8700.267040338198,9508.693513310836,,,,,,1919.6000000000013,,,
2019-08-28,8722.84166720387,9488.562279715035,,,,,,1979.6000000000013,,,
2019-08-29,8722.84166720387,9488.431046119236,,,,,,2050.9000000000015,,,
2019-08-30,8700.267040338198,9478.562279715035,,,,,,2022.5000000000018,,,
2019-09-02,8722.84166720387,9478.693513310836,,,,,,2055.100000000002,,,
2019-09-03,8700.267040338198,9488.693513310836,,,,,,2268.7000000000025,,,
2019-09-04,8722.84166720387,9499.218447694038,,,,,,2168.7000000000025,,,
2019-09-05,8767.990920935214,9489.612148481441,,,,,,2144.500000000002,,,
2019-09-06,8767.990920935214,9489.74338207724,,,,,,2127.4000000000015,,,
2019-09-09,8790.565547800885,9489.74338207724,,,,,,2148.7000000000025,,,
2019-09-10,8767.990920935214,9489.612148481441,,,,,,2161.600000000002,,,
2019-09-11,8790.565547800885,9490.137082864643,,,,,,2178.7000000000025,,,
2019-09-12,8790.565547800885,9480.268316460442,,,,,,2190.000000000002,,,
2019-09-16,8813.140174666556,9490.137082864643,,,,,,2200.000000000002,,,
2019-09-17,8722.84166720387,9479.74338207724,,,,,,2227.4000000000015,,,
2019-09-18,8722.84166720387,9469.612148481441,,,,,,2197.4000000000015,,,
2019-09-19,8722.84166720387,9479.612148481441,,,,,,2173.2000000000016,,,
2019-09-20,8722.84166720387,9469.74338207724,,,,,,2207.4000000000015,,,
2019-09-23,8677.692413472527,9479.48091488564,,,,,,2184.800000000002,,,
2019-09-24,8632.543159741184,9479.48091488564,,,,,,2187.7000000000016,,,
2019-09-25,8587.393906009842,9479.34968128984,,,,,,2135.100000000002,,,
2019-09-26,8587.393906009842,9459.874615673041,,,,,,2118.000000000002,,,
2019-09-27,8564.819279144169,9459.74338207724,,,,,,2135.100000000002,,,
2019-09-30,8542.244652278498,9469.34968128984,,,,,,2140.9000000000015,,,
2019-10-08,8519.670025412826,9469.612148481441,,,,,,2158.000000000002,,,
2019-10-09,8497.095398547153,9479.74338207724,,,,,,2206.4000000000015,,,
2019-10-10,8519.670025412826,9459.74338207724,,,,,,2179.300000000002,,,
2019-10-11,8542.244652278498,9460.268316460442,,,,,,2176.4000000000015,,,
2019-10-14,8587.393906009842,9460.662017247845,,,,,,2187.7000000000016,,,
2019-10-15,8542.244652278498,9450.924484439445,,,,,,2210.6000000000013,,,
2019-10-16,8542.244652278498,9451.055718035246,,,,,,2200.6000000000013,,,
2019-10-17,8497.095398547153,9441.055718035246,,,,,,2237.7000000000016,,,
2019-10-18,8451.94614481581,9440.793250843646,,,,,,2246.4000000000015,,,
2019-10-21,8474.520771681482,9441.186951631047,,,,,,2225.100000000002,,,
2019-10-22,8451.94614481581,9431.318185226848,,,,,,2252.2000000000016,,,
2019-10-23,8451.94614481581,9421.71188601425,,,,,,2248.000000000002,,,
2019-10-24,8429.371517950138,9451.84311961005,,,,,,2268.000000000002,,,
